ConditionEvents,en,uk
Evt1278_Select0_Hint0,"The little girl doesn$STR_2t respond. As she stares out the window at the passing Dustlands, you can only wonder what she$STR_2s thinking.","Дівчинка не $STR_2 реагує. Коли вона дивиться у вікно на пропливаючі повз неї Пилові поля, можна тільки гадати, про що$STR_2 вона думає."
Evt1278_Select1,They said your antibodies weren't real.,"Вони сказали, що твої антитіла не справжні."
Evt1278_Select1_Hint0,"The little girl doesn$STR_2t respond. As she stares out the window at the passing Dustlands, you can only wonder what she$STR_2s thinking.","Дівчинка не $STR_2 реагує. Коли вона дивиться у вікно на пропливаючі повз неї Пилові поля, можна тільки гадати, про що$STR_2 вона думає."
Evt1278_Select2,[Tell her the truth],[Скажи їй правду]
Evt1278_Select2_Hint0,"The little girl doesn$STR_2t respond. As she stares out the window at the passing Dustlands, you can only wonder what she$STR_2s thinking.","Дівчинка не $STR_2 реагує. Коли вона дивиться у вікно на пропливаючі повз неї Пилові поля, можна тільки гадати, про що$STR_2 вона думає."
EventTitle1279,Abandoned Farm - Fallow Fields,Покинута ферма - перелогові поля
EventText1279,You notice an abandoned farmstead. Most of the buildings are in disrepair and the fields are parched and barren. The only building that seems intact is the farmhouse.,"Ви помічаєте занедбану ферму. Більшість будівель знаходяться в аварійному стані, а поля пересохлі та безплідні. Єдина будівля, яка здається неушкодженою - це фермерський будинок."
Evt1279_Select0,[Search the farmstead],[Обшукати садибу]
Evt1279_Select0_Random0_Seq0_Hint0,You wander around for a bit but don't manage to find a thing. You hear somebody calling to you from the porch of the farmhouse.,"Ви блукаєте довкола, але нічого не знаходите. Раптом чуєш, як хтось кличе тебе з ґанку фермерського будинку."
Evt1279_Select0_Random0_Seq1_Hint0,You manage to find some odds and ends around the farmstead. You hear somebody calling to you from the porch of the farmhouse.,"Вам вдається знайти деякі дрібниці навколо садиби. Ви чуєте, як хтось кличе вас з ганку фермерського будинку."
Evt1279_Select0_Random0_Seq2_Hint0,You manage to find some odds and ends around the farmstead. You hear somebody calling to you from the porch of the farmhouse.,"Вам вдається знайти деякі дрібниці навколо садиби. Ви чуєте, як хтось кличе вас з ганку фермерського будинку."
Evt1279_Select1,[Check out the farmhouse],[Подивіться на ферму]
Evt1279_Select2,[Come back later],[Приходьте пізніше]
EventTitle1280,Abandoned Farm - Farmer,Покинута ферма - фермер
EventText1280,"To your surprise, there$STR_2s still a farmer living here. He invites you into the house. $STR_1Howdy, strangers. Beggin$STR_2 your pardon for the mess. We$STR_2ve got room and board here, if you$STR_2ve got the scrap.$STR_1","На ваш $STR_1 подив, тут$STR_2 все ще живе фермер. Він запрошує вас до хати. Привіт, чужинці. Прошу ви$STR_2бачення за безлад. У нас$STR_2 є місце і їжа, як$STR_1що у вас є брухт."
