Localization,en,uk
PeopleEvent_GearCityLack,Your city doesn't have enough Scrap.,У вашому місті не вистачає Брухту.
PeopleEvent_GearCityLost,Your city lost {0} Scrap.,Ваше місто втратило {0} Брухт.
PeopleEvent_HoldTime,{0} has not been paid a salary for {1} months. They might leave your Crew.,{0} не отримував зарплату протягом {1} місяців. Вони можуть залишити вашу команду.
PeopleEvent_HumanAmazing,There's no meat like long pig!,"Немає такого м'яса, як довга свиня!"
PeopleEvent_HumanBad,It's disgusting.,Це огидно.
PeopleEvent_HumanGood,It's actually pretty good.,Насправді це дуже добре.
PeopleEvent_HumanWant,"If it's not long pig, they're not interested.","Якщо це не довга свиня, вони не зацікавлені."
PeopleEvent_InjuryStill,"It's been some time, and {0}'s wounds aren't looking any better.","Минув деякий час, і рани {0} не виглядають краще."
PeopleEvent_InjuryTreat,The treatment seems to be working. {0}'s wounds are looking better.,"Здається, лікування працює. Рани {0} виглядають краще."
PeopleEvent_LackGas,Not enough Fuel. (Auto-eat and driver switching disabled.),Недостатньо палива. (Автоматичне харчування та перемикання драйверів вимкнено.)
PeopleEvent_LackGear,Not enough Scrap.,Недостатньо Брухту.
PeopleEvent_MemberDied,{0} has died.,{0} помер.
PeopleEvent_MemberStarve,{0} has died of starvation.,{0} помер від голоду.
PeopleEvent_MemberThirsty,{0} has died of thirst.,{0} помер від спраги.
PeopleEvent_MinorsDrink,Children can't drink alcohol.,Дітям не можна вживати алкоголь.
PeopleEvent_NoCoffee,You're out of Coffee.,У вас закінчилася кава.
PeopleEvent_NoFood,"You have no food to eat. Find some as soon as possible, or change the settings in your inventory to allow existing food items to be eaten. Auto-Eat has been disabled.","У вас немає їжі. Знайдіть трохи якнайшвидше або змініть налаштування у своєму інвентарі, щоб дозволити їсти наявні продукти. Автоматичне харчування вимкнено."
PeopleEvent_NoMoreDrink,{0} can't drink any more without throwing up.,{0} більше не може пити без блювання.
PeopleEvent_NotInjured,{0} is fit as a fiddle. No treatment needed.,{0} підходить як скрипка. Лікування не потрібно.
PeopleEvent_NoWage,"You're out of funds. Better find some, quick.","У вас закінчилися кошти. Краще знайди трохи, швидше."
PeopleEvent_NoWater,You're out of Water. (Auto-eat disabled.),Ти поза водою. (Автоматичний прийом їжі вимкнено.)
PeopleEvent_PayAdvance,"Since you paid {0} in advance, they won't receive any salary this month.","Оскільки ви заплатили {0} наперед, вони не отримають зарплату цього місяця."
PeopleEvent_RawFoodEat,Eating raw food has given {0} an upset stomach.,Вживання сирої їжі спричинило {0} розлад шлунку.
PeopleEvent_RefuseEat,{0} refuses to eat what you're offering.\n(This character has the Foodie or Gourmand trait.),"{0} відмовляється їсти те, що ви пропонуєте.\n(Цей персонаж має рису гурмана або гурмана.)"
PeopleEvent_StressBurst,{0} has reached their Stress limit. They need to let off some steam. Quick.,{0} досягло ліміту Стресу. Їм потрібно трохи випустити пар. швидко
PeopleEvent_TiredToDrive,Too Fatigued to drive.,"Надто втомлений, щоб керувати автомобілем."
PeopleEvent_WageCityLost,Your city lost {0}.,Ваше місто втратило {0}.
PeopleEvent_WageCreditLack,"It's payday, but you don't have enough Creds to pay {0}'s salary.","Настав день виплати зарплати, але у вас недостатньо кредитів, щоб виплатити зарплату {0}."
PeopleEvent_WageCreditNeed,It's payday. Spend {0} Creds to pay {1}'s Salary?,"Це день зарплати. Витратити Кредити ({0}), щоб виплатити зарплату {1}?"
PeopleEvent_WageFire,"Upset about unpaid salary, {0} stole something and fled.","Засмучений невиплаченою зарплатою, {0} щось вкрав і втік."
PeopleEvent_WageHold,"Having not been paid a salary in {1} months, {0} is preparing to quit. They might be persuaded to stay in exchange for a one-time payment of {2} Scrap.","Оскільки {0} не отримував зарплату протягом {1} місяців, він готується звільнитися. Їх можна переконати залишитися в обмін на одноразову виплату {2} Брухту."
PeopleEvent_WageMoneyLost,Lost {0} Scrap.,Втрачено {0} записки.
PeopleEvent_WagePaidCredit,Paid {0} a salary of {1} Creds.,Виплатив {0} зарплату в розмірі {1} кредитів.
PeopleEvent_WageRun,"Pissed off at not getting paid their salary, {0} ran away in the middle of the night.","Розлючені через те, що їм не виплатили зарплату, {0} втекли серед ночі."
PeopleEvent_SoberUp,Spend {1} sobering up {0} with Water x{2}?,Витратити {1} на протвереження {0} водою x{2}?
